Entrez_id	Symbol
51361	HOOK1
4774	NFIA
10207	PATJ
54596	L1TD1
7398	USP1
27329	ANGPTL3
84938	ATG4C
27022	FOXD3
29929	ALG6
84455	EFCAB7
5236	PGM1
4919	ROR1
148581	UBE2U
57685	CACHD1
55225	RAVER2
205	AK4
9829	DNAJC6
3953	LEPR
5142	PDE4B
84251	SGIP1
200132	TCTEX1D1
57708	MIER1
149233	IL23R
3595	IL12RB2
1647	GADD45A
57554	LRRC7
5301	PIN1P1
9295	SRSF11
11147	HHLA3
1491	CTH
100526835	FPGT-TNNI3K
8790	FPGT
127253	TYW3
431707	LHX8
34	ACADM
5876	RABGGTB
4438	MSH4
256435	ST6GALNAC3
81849	ST6GALNAC5
26289	AK5
374986	MIGA1
91624	NEXN
5737	PTGFR
11080	DNAJB4
54810	GIPC2
10964	IFI44L
10561	IFI44
23266	ADGRL2
5567	PRKACB
148418	SAMD13
58511	DNASE2B
80135	RPF1
100505741	SPATA1
126820	WDR63
3491	CYR61
9635	CLCA2
1179	CLCA1
22802	CLCA4
9629	CLCA3P
51100	SH3GLB1
9653	HS2ST1
8543	LMO4
5586	PKN2
163351	GBP6
23507	LRRC8B
84230	LRRC8C
55144	LRRC8D
284695	ZNF326
8317	CDC7
676	BRDT
253152	EPHX4
284697	BTBD8
23285	BTBD8
388649	C1orf146
79871	RPAP2
6125	RPL5
22823	MTF2
343099	CCDC18
1810	DR1
54874	FNBP1L
5825	ABCD3
126969	SLC44A3
148534	TMEM56
25950	RWDD3
58155	PTBP2
51375	SNX7
9890	PLPPR4
54873	PALMD
178	AGL
23443	SLC35A3
64645	MFSD14A
54482	TRMT13
8634	RTCA
8556	CDC14A
54112	GPR88
7412	VCAM1
148867	SLC30A7
1901	S1PR1
55599	RNPC3
280	AMY2B
279	AMY2A
277	AMY1B
55170	PRMT6
22854	NTNG1
653149	NBPF6
284611	FAM102B
55119	PRPF38B
163479	FNDC7
6814	STXBP3
29899	GPSM2
56900	TMEM167B
57535	KIAA1324
6301	SARS
1952	CELSR2
284612	SYPL2
127002	ATXN7L2
284613	CYB561D1
83873	GPR61
2773	GNAI3
271	AMPD2
2948	GSTM4
2946	GSTM2
2944	GSTM1
2949	GSTM5
1435	CSF1
10768	AHCYL1
85369	STRIP1
164153	UBL4B
388662	SLC6A17
3749	KCNC4
64783	RBM15
84432	PROK1
963	CD53
10390	CEPT1
1117	CHI3L2
27159	CHIA
128344	PIFO
515	ATP5PB
128346	C1orf162
5906	RAP1A
11218	DDX20
55917	CTTNBP2NL
7482	WNT2B
829	CAPZA1
4343	MOV10
284467	FAM19A3
9860	LRIG2
260425	MAGI3
64858	DCLRE1B
204851	HIPK1
56944	OLFML3
6847	SYCP1
7252	TSHB
81839	VANGL1
4808	NHLH2
55356	SLC22A15
126868	MAB21L3
476	ATP1A1
914	CD2
5738	PTGFRN
9398	CD101
8458	TTF2
10905	MAN1A2
54855	TENT5C
10885	WDR3
51179	HAO2
3284	HSD3B2
3283	HSD3B1
26227	PHGDH
100996720	
400818	NBPF9
9554	SEC22B
100996763	NBPF14
388677	NOTCH2NL
25832	NBPF14
728841	NBPF8
100132406	NBPF10
100288142	NBPF20
148738	HJV
10628	TXNIP
128077	LIX1L
284615	ANKRD34A
9939	RBM8A
8799	PEX11B
8515	ITGA10
148741	ANKRD35
10401	PIAS3
27246	RNF115
5174	PDZK1
51463	GPR89A
9557	CHD1L
607	BCL9
2703	GJA8
284565	NBPF15
730262	PPIAL4E
2209	FCGR1A
554313	HIST2H4B
8337	HIST2H2AA3
333932	HIST2H3A
8338	HIST2H2AC
51027	BOLA1
11311	VPS45
51177	PLEKHO1
23632	CA14
79630	C1orf54
148523	CIART
54460	MRPS21
9129	PRPF3
23248	RPRD2
80222	TARS2
1893	ECM1
54507	ADAMTSL4
126626	GABPB2
9869	SETDB1
8416	ANXA9
58497	PRUNE1
149428	BNIPL
54964	C1orf56
10962	MLLT11
79626	TNFAIP8L2
79005	SCNM1
8394	PIP5K1A
5710	PSMD4
57592	ZNF687
5692	PSMB4
57530	CGN
7286	TUFT1
81609	SNX27
284485	RIIAD1
51686	OAZ3
254910	LCE5A
54544	CRCT1
353144	LCE3C
353143	LCE3B
353141	LCE2D
26239	LCE2B
353140	LCE2C
353139	LCE2A
199834	LCE4A
100129271	C1orf68
353137	LCE1F
353135	LCE1E
353134	LCE1D
353132	LCE1B
353131	LCE1A
4184	SMCP
3713	IVL
163778	SPRR4
6698	SPRR1A
6707	SPRR3
6699	SPRR1B
149018	LELP1
574414	PRR9
4014	LOR
6280	S100A9
338324	S100A7A
6271	S100A1
26097	CHTOP
23557	SNAPIN
4881	NPR1
65123	INTS3
11000	SLC27A3
148327	CREB3L4
6232	RPS27L
9898	UBAP2L
10456	HAX1
89872	AQP10
57198	ATP8B2
3570	IL6R
126668	TDRD10
1141	CHRNB2
101928120	
1163	CKS1B
80308	FLAD1
55891	LENEP
51043	ZBTB7B
149095	DCST1
8751	ADAM15
1945	EFNA4
1944	EFNA3
1942	EFNA1
55974	SLC50A1
80128	TRIM46
4580	MTX1
57657	HCN3
2224	FDPS
23623	RUSC1
7818	DAP3
55154	MSTO1
23208	SYT11
339403	RXFP4
28956	LAMTOR2
57111	RAB25
4000	LMNA
64218	SEMA4A
9673	SLC25A44
11243	PMF1
84283	TMEM79
128229	TSACC
57127	RHBG
164118	TTC24
128240	NAXE
54865	GPATCH4
60484	HAPLN2
63827	BCAN
51093	RRNAD1
5546	PRCC
4914	NTRK1
375033	PEAR1
149499	LRRC71
55243	KIRREL1
912	CD1D
909	CD1A
911	CD1C
913	CD1E
391109	OR10K1
343406	OR10R2
128368	OR10Z1
128371	OR6K6
4332	MNDA
149628	PYHIN1
3428	IFI16
57863	CADM3
2532	ACKR1
2205	FCER1A
26476	OR10J1
325	APCS
54935	DUSP23
343413	FCRL6
56833	SLAMF8
3765	KCNJ9
477	ATP1A2
480	ATP1A4
844	CASQ1
8682	PEA15
50717	DCAF8
23385	NCSTN
4807	NHLH1
57216	VANGL2
57823	SLAMF7
4063	LY9
126823	KLHDC9
4817	NIT1
51506	UFC1
27005	USP21
5498	PPOX
4720	NDUFS2
2207	FCER1G
84134	TOMM40L
654790	PCP4L1
6391	SDHC
2212	FCGR2A
3310	HSPA6
2213	FCGR2B
84824	FCRLA
127943	FCRLB
11266	DUSP12
22926	ATF6
400793	C1orf226
127933	UHMK1
6675	UAP1
4921	DDR2
51478	HSD17B7
5999	RGS4
83540	NUF2
5087	PBX1
440699	LRRC52
4259	MGST3
7371	UCK2
57645	POGK
84944	MAEL
92235	DUSP27
5451	POU2F1
92241	RCSD1
9019	MPZL1
55827	DCAF6
261726	TIPRL
375035	SFT2D2
9095	TBX19
6375	XCL1
481	ATP1B1
8548	BLZF1
55732	C1orf112
149281	METTL11B
92344	GORAB
5396	PRRX1
80133	MROH9
2328	FMO3
2327	FMO2
2326	FMO1
2329	FMO4
23215	PRRC2C
51603	METTL13
26052	DNM3
92346	C1orf105
51430	SUCO
356	FASLG
9588	PRDX6
730159	TEX50
27252	KLHL20
55157	DARS2
84614	ZBTB37
9910	RABGAP1L
9293	GPR52
27101	CACYBP
63923	TNN
60676	PAPPA2
57795	BRINP2
9462	RASAL2
84066	TEX35
55103	RALGPS2
9917	FAM20B
64222	TOR3A
6646	SOAT1
126859	AXDND1
163589	TDRD5
148753	FAM163A
26092	TOR1AIP1
9857	CEP350
5768	QSOX1
89884	LHX4
9213	XPR1
57710	KIAA1614
3140	MR1
51278	IER5
777	CACNA1E
353299	RGSL1
80896	NPL
1660	DHX9
3915	LAMC1
3918	LAMC2
9887	SMG7
23179	RGL1
116461	TSEN15
81563	C1orf21
6045	RNF2
54823	SWT1
83872	HMCN1
10216	PRG4
54953	ODR4
10896	OCLM
5321	PLA2G4A
64407	RGS18
431704	RGS21
5996	RGS1
6003	RGS13
5997	RGS2
6738	TROVE2
79577	CDC73
3075	CFH
10878	CFHR3
10877	CFHR4
3080	CFHR2
81494	CFHR5
23418	CRB1
388722	C1orf53
56956	LHX9
140609	NEK7
5788	PTPRC
2494	NR5A2
23271	CAMSAP2
2848	GPR25
55765	INAVA
91156	IGFN1
5317	PKP1
89796	NAV1
55705	IPO9
149345	SHISA4
10440	TIMM17A
6051	RNPEP
1999	ELF3
9283	GPR37L1
59352	LGR6
4660	PPP1R12B
92703	TMEM183A
8497	PPFIA4
134	ADORA1
7832	BTG2
493	ATP2B4
54900	LAX1
100381270	ZBED6
6635	SNRPE
9580	SOX13
4194	MDM4
23114	NFASC
6900	CNTN2
9911	TMCC2
5129	CDK18
148808	MFSD4A
23380	SRGAP2
9641	IKBKE
83593	RASSF5
8444	DYRK3
9261	MAPKAPK2
29949	IL19
50604	IL20
11009	IL24
5208	PFKFB2
725	C4BPB
722	C4BPA
1604	CD55
1380	CR2
1378	CR1
4179	CD46
1379	CR1L
57172	CAMK1G
50486	G0S2
3290	HSD11B1
80342	TRAF3IP3
27042	UTP25
255928	SYT14
56256	SERTAD4
55733	HHAT
55758	RCOR3
7188	TRAF5
51514	DTL
5525	PPP2R5A
29937	NENF
467	ATF3
149647	FAM71A
128387	TATDN3
28982	FLVCR1
79805	VASH2
26750	RPS6KC1
5629	PROX1
56950	SMYD2
1063	CENPF
3776	KCNK2
51133	KCTD3
128153	SPATA17
51018	RRP15
7042	TGFB2
127018	LYPLAL1
55699	IARS2
4139	MARK1
79762	C1orf115
54996	MARC2
64757	MARC1
3142	HLX
375056	MIA3
148362	BROX
400823	FAM177B
84976	DISP1
164127	CCDC185
824	CAPN2
23219	FBXO28
8560	DEGS1
29097	CNIH4
149111	CNIH3
127602	DNAH14
6726	SRP9
2052	EPHX1
3020	H3F3A
83881	MIXL1
375057	STUM
5664	PSEN2
56997	COQ8A
339500	ZNF678
116841	SNAP47
65094	JMJD4
339501	PRSS38
89780	WNT3A
375	ARF1
2987	GUK1
57165	GJC2
200205	IBA57
84033	OBSCN
128312	HIST3H2BB
149603	RNF187
58480	RHOU
5867	RAB4A
9816	URB2
2590	GALNT2
22796	COG2
10753	CAPN9
64801	ARV1
440730	TRIM67
8443	GNPAT
83932	SPRTN
7257	TSNAX
27185	DISC1
54627	MAP10
84284	NTPCR
84451	MAP3K21
3775	KCNK1
148641	SLC35F3
388753	COA6
359948	IRF2BP2
9453	GGPS1
6905	TBCE
7107	GPR137B
128178	EDARADD
3964	LGALS8
88	ACTN2
4548	MTR
6262	RYR2
1131	CHRM3
56776	FMN2
8564	KMO
128025	WDR64
9156	EXO1
10806	SDCCAG8
10472	ZBTB18
200159	C1orf100
257044	CATSPERE
51029	DESI2
116228	COX20
84288	EFCAB2
55083	KIF26B
163882	CNST
51097	SCCPDH
317705	VN1R5
114548	NLRP3
441932	OR2W5
148823	GCSAML
81470	OR2G2
81469	OR2G3
343170	OR14K1
343171	OR2W3
25893	TRIM58
343172	OR2T8
284521	OR2L13
391190	OR2L8
391191	OR2AK2
81466	OR2L5
26246	OR2L2
391192	OR2L3
127059	OR2M5
391194	OR2M2
127062	OR2M3
26245	OR2M4
127066	OR14C36
127074	OR2T4
254879	OR2T6
26696	OR2T1
401992	OR2T2
343173	OR2T3
401993	OR2T5
79894	ZNF672
267002	PGBD2
401934	RNF223
8784	TNFRSF18
7293	TNFRSF4
51150	SDF4
388581	C1QTNF12
118424	UBE2J2
116983	ACAP3
54973	INTS11
1855	DVL1
54587	MXRA8
54998	AURKAIP1
81669	CCNL2
55052	MRPL20
441869	ANKRD65
339453	TMEM240
29101	SSU72
65220	NADK
728642	CDK11A
9906	SLC35E2A
2782	GNB1
85452	CFAP74
79906	MORN1
5192	PEX10
55229	PANK4
388585	HES5
100287898	TTC34
1953	MEGF6
49856	WRAP73
57470	LRRC47
9731	CEP104
339448	C1orf174
261734	NPHP4
26038	CHD5
6146	RPL22
23463	ICMT
387509	GPR153
11332	ACOT7
54626	HES2
8718	TNFRSF25
57449	PLEKHG5
79707	NOL9
9903	KLHL21
55735	DNAJC11
10911	UTS2
3604	TNFRSF9
54206	ERRFI1
473	RERE
2023	ENO1
155184	SLC2A7
6518	SLC2A5
80045	GPR157
22883	CLSTN1
56998	CTNNBIP1
84328	LZIC
1676	DFFA
54897	CASZ1
148345	C1orf127
10747	MASP2
6723	SRM
5394	EXOSC10
2475	MTOR
26232	FBXO2
10459	MAD2L2
4524	MTHFR
4878	NPPA
4879	NPPB
90231	KIAA2013
9249	DHRS3
440560	PRAMEF11
343069	HNRNPCL1
343071	PRAMEF10
440561	PRAMEF6
126755	LRRC38
842	CASP9
79814	AGMAT
440567	UQCRHL
7709	ZBTB17
27129	HSPB7
348487	FAM131C
1969	EPHA2
128272	ARHGEF19
79363	CPLANE2
54455	FBXO42
374955	SPATA21
26863	RNVU1-18
55672	NBPF1
1964	EIF1AX
11223	MST1L
4237	MFAP2
23400	ATP13A2
6390	SDHB
11240	PADI2
55920	RCC2
80834	TAS1R2
8659	ALDH4A1
126917	IFFO2
23352	UBR4
23065	EMC1
8574	AKR7A2
22977	AKR7A3
832	CAPZB
255104	TMCO4
54546	RNF186
30814	PLA2G2E
5320	PLA2G2A
26279	PLA2G2D
391013	PLA2G2C
55450	CAMK2N1
79594	MUL1
1650	DDOST
57576	KIF17
400745	SH2D5
50809	HP1BP3
8672	EIF4G3
1889	ECE1
5909	RAP1GAP
84196	USP48
3339	HSPG2
54361	WNT4
729059	TEX46
7798	LUZP1
3352	HTR1D
10236	HNRNPR
80818	ZNF436
6920	TCEA3
55616	ASAP3
1870	E2F2
3399	ID3
2582	GALE
3155	HMGCL
2517	FUCA1
127294	MYOM3
58985	IL22RA1
163702	IFNLR1
90529	STPG1
864	RUNX3
25949	SYF2
6006	RHCE
79000	AUNIP
164091	PAQR7
3925	STMN1
5051	PAFAH2
7780	SLC30A2
84676	TRIM63
91544	UBXN11
55057	CRYBG2
257101	ZNF683
54707	GPN2
63906	GPATCH3
8431	NR0B2
126695	KDF1
115572	TENT5B
6548	SLC9A1
9064	MAP3K6
8547	FCN3
388611	CD164L2
10163	WASF2
27245	AHDC1
2268	FGR
2537	IFI6
6118	RPA2
2140	EYA3
9789	SPCS2
5724	PTAFR
22826	DNAJC8
6883	TAF12
399474	TMEM200B
6429	SRSF4
51102	MECR
4146	MATN1
7805	LAPTM5
9672	SDC3
9698	PUM1
79570	NKAIN1
9410	SNRNP40
2170	FABP3
553115	PEF1
1307	COL16A1
576	ADGRB2
90853	SPOCD1
8073	PTP4A2
56063	TMEM234
65108	MARCKSL1
100128071	FAM229A
55108	BSDC1
339487	ZBTB8OS
81493	SYNC
8565	YARS
252995	FNDC5
113452	TMEM54
127544	RNF19B
204	AK2
55223	TRIM62
127550	A3GALT2
1912	PHC2
114784	CSMD2
113444	SMIM12
58512	DLGAP3
100506144	TMEM35B
6421	SFPQ
79932	KIAA0319L
5690	PSMB2
127703	C1orf216
63967	CLSPN
1296	COL8A2
27095	TRAPPC3
55194	EVA1B
83931	STK40
84967	LSM10
127700	OSCP1
64960	MRPS15
1441	CSF3R
2899	GRIK3
64769	MEAF6
79753	SNIP1
29889	GNL2
284654	RSPO1
54955	C1orf109
284656	EPHA10
79693	YRDC
4520	MTF1
3633	INPP5B
10946	SF3A3
2275	FHL3
5453	POU3F1
64121	RRAGC
26292	MYCBP
54933	RHBDL2
8761	PABPC4
26508	HEYL
84618	NT5C1A
51440	HPCAL4
656	BMP8B
64064	OXCT2
54802	TRIT1
4610	MYCL
5538	PPT1
1298	COL9A2
9783	RIMS3
163732	CITED4
200172	SLFNL1
22955	SCMH1
1907	EDN2
59269	HIVEP3
2980	GUCA2A
22887	FOXJ3
84217	ZMYND12
149461	CLDN19
64175	P3H1
374969	SVBP
6513	SLC2A1
10969	EBNA1BP2
149466	C1orf210
64834	ELOVL1
112950	MED8
81888	HYI
6536	SLC6A9
6632	SNRPD1
105378952	KLF18
79033	ERI3
79639	TMEM53
266675	BEST4
343521	TCTEX1D4
8643	PTCH2
8891	EIF2B3
79654	HECTD3
57643	ZSWIM5
4595	MUTYH
10420	TESK2
126661	CCDC163
5052	PRDX1
149483	CCDC17
60313	GPBP1L1
3652	IPP
8503	PIK3R3
55624	POMGNT1
10489	LRRC41
105378696	
148930	KNCN
8569	MKNK1
148932	MOB3C
64756	ATPAF1
9813	EFCAB14
1579	CYP4A11
10158	PDZK1IP1
6886	TAL1
6491	STIL
388630	TRABD2B
54558	SPATA6
84871	AGBL4
79656	BEND5
63950	DMRTA2
11124	FAF1
22996	TTC39A
2060	EPS15
4898	NRDC
5865	RAB3B
51060	TXNDC12
112970	KTI12
200014	CC2D1B
4998	ORC1
23318	TUT4
65260	COA7
55268	ECHDC2
6512	SLC1A7
54987	C1orf123
4116	MAGOH
7804	LRP8
148979	GLIS1
55706	NDC1
54432	YIPF1
388633	LDLRAD1
9528	TMEM59
200008	CDCP2
606495	CYB5RL
23648	SSBP3
338094	FAM151A
25973	PARS2
55001	TTC22
1718	DHCR24
23358	USP24
8613	PLPP3
199920	FYB2
732	C8B
1600	DAB1
4070	TACSTD2
114803	MYSM1
3725	JUN
1573	CYP2J2
127795	C1orf87
83941	TM2D1
163782	KANK4
85440	DOCK7
23421	ITGB3BP
3716	JAK1
10022	INSL5
79819	WDR78
23169	SLC35D1
400757	C1orf141
26135	SERBP1
55970	GNG12
9077	DIRAS3
79971	WLS
6121	RPE65
55635	DEPDC1
55631	LRRC40
81573	ANKRD13C
5733	PTGER3
9406	ZRANB2
257194	NEGR1
127255	LRRIQ3
127254	ERICH3
1429	CRYZ
204962	SLC44A5
127247	ASB17
10026	PIGK
26009	
23032	USP33
64853	AIDA
8880	FUBP1
64123	ADGRL4
79739	TTLL7
2787	GNG5
1486	CTBS
117178	SSX2IP
23566	LPAR3
255231	MCOLN2
55283	MCOLN3
84144	SYDE2
148423	C1orf52
8915	BCL10
23576	DDAH1
54680	ZNHIT6
255631	COL24A1
57489	ODF2L
9403	SELENOF
2959	GTF2B
56267	KYAT3
2635	GBP3
2633	GBP1
2634	GBP2
115361	GBP4
115362	GBP5
343472	BARHL2
84146	ZNF644
164045	HFM1
7049	TGFBR3
646817	SETSIP
11146	GLMN
2672	GFI1
7813	EVI5
388650	FAM69A
50999	TMED5
8412	BCAR3
30836	DNTTIP2
2730	GCLM
24	ABCA4
9411	ARHGAP29
2152	F3
1266	CNN3
199857	ALG14
6129	RPL7
163404	PLPPR5
391059	FRRS1
163786	SASS6
127495	LRRC39
1629	DBT
2135	EXTL2
51611	DPH5
118427	OLFM3
1301	COL11A1
101928436	
10451	VAV3
29957	SLC25A24
148545	NBPF4
113802	HENMT1
254268	AKNAD1
23155	CLCC1
22911	WDR47
127003	C1orf194
84722	PSRC1
343263	MYBPHL
6272	SORT1
5686	PSMA5
57463	AMIGO1
2780	GNAT2
2947	GSTM3
79574	EPS8L3
257	ALX3
9122	SLC16A4
10542	LAMTOR5
3744	KCNA10
3737	KCNA2
3738	KCNA3
55791	LRIF1
128338	DRAM2
79961	DENND2D
5016	OVGP1
79084	WDR77
140	ADORA3
55924	
3752	KCND3
54879	ST7L
389	RHOC
333926	PPM1J
6566	SLC16A1
10745	PHTF1
54665	RSBN1
26191	PTPN22
440603	BCL2L15
10717	AP4B1
148281	SYT6
51592	TRIM33
163259	DENND2C
270	AMPD1
4893	NRAS
7812	CSDE1
80143	SIKE1
10100	TSPAN2
4803	NGF
845	CASQ2
965	CD58
3321	IGSF3
80263	TRIM45
79679	VTCN1
55629	PNRC2
54834	GDAP2
200162	SPAG17
6913	TBX15
10352	WARS2
90874	ZNF697
3158	HMGCS2
343505	NBPF7
4853	NOTCH2
11085	ADAM30
9659	PDE4DIP
644591	PPIAL4G
653505	PPIAL4A
653513	PDE4DIP
11163	NUDT4
84265	POLR3GL
200035	NUDT17
11126	CD160
653519	GPR89A
26864	RNVU1-7
200030	NBPF11
5565	PRKAB2
2330	FMO5
51205	ACP6
2702	GJA5
440689	HIST2H2BF
723790	HIST2H2AA4
8349	HIST2H2BE
317772	HIST2H2AB
9900	SV2A
10262	SF3B4
10903	MTMR11
56957	OTUD7B
81611	ANP32E
51107	APH1A
4170	MCL1
2029	ENSA
55204	GOLPH3L
84072	HORMAD1
1520	CTSS
1513	CTSK
405	ARNT
55793	MINDY1
29956	CERS2
56882	CDC42SE1
10500	SEMA6C
388695	LYSMD1
29765	TMOD4
6944	VPS72
5298	PI4KB
5993	RFX5
8991	SELENBP1
23126	POGZ
11189	CELF3
65005	MRPL9
11022	TDRKH
339398	LINGO4
6097	RORC
100191040	C2CD4D
284486	THEM5
117145	THEM4
6281	S100A10
6282	S100A11
126637	TCHHL1
7062	TCHH
126638	RPTN
388697	HRNR
2312	FLG
388698	FLG2
49860	CRNN
353145	LCE3E
84648	LCE3D
353142	LCE3A
353133	LCE1C
6703	SPRR2D
6700	SPRR2A
6701	SPRR2B
6704	SPRR2E
6705	SPRR2F
6706	SPRR2G
114771	PGLYRP3
57115	PGLYRP4
6283	S100A12
6279	S100A8
6274	S100A3
645922	S100A7L2
6278	S100A7
6277	S100A6
6276	S100A5
6273	S100A2
6284	S100A13
3608	ILF2
57459	GATAD2B
9909	DENND4B
200186	CRTC2
27173	SLC39A1
5872	RAB13
91181	NUP210L
7170	TPM3
388701	C1orf189
126669	SHE
55585	UBE2Q1
103	ADAR
3782	KCNN3
10654	PMVK
57326	PBXIP1
90780	PYGO2
6464	SHC1
127579	DCST2
54344	DPM3
